region_code,number_prefix,is_geographic,is_mobile,is_satellite
AW,29799,0,1,0
AW,297630,0,1,0
AW,297641,0,1,0
AW,29796,0,1,0
AW,29766,0,1,0
AW,297600,0,1,0
AW,29756,0,1,0
AW,29769,0,1,0
AW,297642,0,1,0
AW,29774,0,1,0
AW,297,1,0,0
AW,297622,0,1,0
AW,297290,0,1,0
AW,29773,0,1,0
AW,29759,0,1,0
AW,297640,0,1,0
AF,9378,0,1,0
AF,9370,0,1,0
AF,9376,0,1,0
AF,9379,0,1,0
AF,9375,0,1,0
AF,9374,0,1,0
AF,93,1,0,0
AF,9372,0,1,0
AF,9377,0,1,0
AF,9371,0,1,0
AF,9373,0,1,0
AO,24499,0,1,0
AO,24491,0,1,0
AO,244,1,0,0
AO,24494,0,1,0
AO,24493,0,1,0
AO,24492,0,1,0
AI,1264,1,0,0
AL,355,1,0,0
AL,35567,0,1,0
AL,35569,0,1,0
AL,35568,0,1,0
AD,3763,0,1,0
AD,3765,0,1,0
AD,3764,0,1,0
AD,376,1,0,0
AD,3766,0,1,0
AN,5999765,1,0,0
AN,599693,1,0,0
AN,5993186,0,1,0
AN,5995,1,0,0
AN,59996,0,1,0
AN,5999767,1,0,0
AN,59997,1,0,0
AN,5993184,0,1,0
AN,5999763,1,0,0
AN,59995,0,1,0
AN,5994166,0,1,0
AN,5999720,1,0,0
AN,59998,1,0,0
AN,59910,1,0,0
AN,59994,1,0,0
AN,599523,0,1,0
AN,5993185,0,1,0
AN,59978,0,1,0
AN,5994165,0,1,0
AN,599510,0,1,0
AN,599416,0,1,0
AN,599526,0,1,0
AN,599955,0,1,0
AN,599527,0,1,0
AN,599588,0,1,0
AN,5994168,0,1,0
AN,599950,1,0,0
AN,5994161,0,1,0
AN,59979,0,1,0
AN,5993181,0,1,0
AN,5999766,1,0,0
AN,599520,0,1,0
AN,599318,0,1,0
AN,599586,0,1,0
AN,599521,0,1,0
AN,5994167,0,1,0
AN,599581,0,1,0
AN,599700,0,1,0
AN,59970,0,1,0
AN,599511,0,1,0
AN,59955,0,1,0
AN,599524,0,1,0
AN,599974,1,0,0
AN,5999777,1,0,0
AN,599587,0,1,0
AN,599580,0,1,0
AN,599522,0,1,0
AN,5999723,1,0,0
AN,599,1,0,0
AN,5999722,1,0,0
AN,599701,0,1,0
AN,5999721,1,0,0
AN,599973,1,0,0
AE,97143917,1,0,0
AE,9714561,1,0,0
AE,97150,0,1,0
AE,9714871,1,0,0
AE,9714873,1,0,0
AE,971455,1,0,0
AE,9714560,1,0,0
AE,97143911,1,0,0
AE,9714564,1,0,0
AE,97154,0,1,0
AE,9719290,1,0,0
AE,9716715,1,0,0
AE,9716716,1,0,0
AE,9714874,1,0,0
AE,971442,1,0,0
AE,9714279,1,0,0
AE,9714510,1,0,0
AE,9714567,1,0,0
AE,9714818,1,0,0
AE,97158,0,1,0
AE,971,1,0,0
AE,971439199,1,0,0
AE,97143915,1,0,0
AE,9714278,1,0,0
AE,9714876,1,0,0
AE,9714565,1,0,0
AE,97143914,1,0,0
AE,9712234,1,0,0
AE,97143916,1,0,0
AE,9714275,1,0,0
AE,9712440,1,0,0
AE,9714563,1,0,0
AE,9714514,1,0,0
AE,971424,1,0,0
AE,9714566,1,0,0
AE,9717277,1,0,0
AE,97152,0,1,0
AE,971439198,1,0,0
AE,9716702,1,0,0
AE,9714374,1,0,0
AE,971436,1,0,0
AE,97143913,1,0,0
AE,9712245,1,0,0
AE,9712236,1,0,0
AE,971445,1,0,0
AE,9714562,1,0,0
AE,97155,0,1,0
AE,97156,0,1,0
AE,97143918,1,0,0
AE,9714390,1,0,0
AE,9716678,1,0,0
AE,97143912,1,0,0
AE,9714568,1,0,0
AE,9712235,1,0,0
AE,9716704,1,0,0
AE,971444,1,0,0
AE,9714875,1,0,0
AE,9714513,1,0,0
AE,971439196,1,0,0
AE,9714569,1,0,0
AE,9714770,1,0,0
AE,971441382,1,0,0
AE,9714512,1,0,0
AE,971441380,1,0,0
AE,97143910,1,0,0
AE,9714872,1,0,0
AE,971439195,1,0,0
AE,9714277,1,0,0
AE,9714375,1,0,0
AE,971458,1,0,0
AE,9713736,1,0,0
AE,9714276,1,0,0
AE,971443,1,0,0
AE,971439197,1,0,0
AE,9712442,1,0,0
AR,549264511,0,1,0
AR,5492627386,0,1,0
AR,5492317559,0,1,0
AR,5492478544,0,1,0
AR,5492224520,0,1,0
AR,5492331414,0,1,0
AR,5492353415,0,1,0
AR,5492604515,0,1,0
AR,542324455,0,1,0
AR,543414046,0,1,0
AR,5492901533,0,1,0
AR,5492392492,0,1,0
AR,549221661,0,1,0
AR,5492344421,0,1,0
AR,549344254,0,1,0
AR,5492914600,0,1,0
AR,549261571,0,1,0
AR,5492335400,0,1,0
AR,5493446563,0,1,0
AR,549223544,0,1,0
AR,5492302507,0,1,0
AR,5492362559,0,1,0
AR,549341521,0,1,0
AR,5492353423,0,1,0
AR,549221611,0,1,0
AR,549115913,0,1,0
AR,549236266,0,1,0
AR,5492478543,0,1,0
AR,549232467,0,1,0
AR,5492223521,0,1,0
AR,5492604221,0,1,0
AR,549260462,0,1,0
AR,549115988,0,1,0
AR,549247756,0,1,0
AR,54114599,0,1,0
AR,549264470,0,1,0
AR,549261215,0,1,0
AR,549221495,0,1,0
AR,5492626402,0,1,0
AR,5492345561,0,1,0
AR,5492224499,0,1,0
AR,5492241497,0,1,0
AR,549221317,0,1,0
AR,5492281637,0,1,0
AR,549115746,0,1,0
AR,5492362225,0,1,0
AR,5492241572,0,1,0
AR,549261302,0,1,0
AR,5492622519,0,1,0
AR,542915309,0,1,0
AR,5492392486,0,1,0
AR,543464,1,0,0
AR,542214078,0,1,0
AR,5492267472,0,1,0
AR,5492355557,0,1,0
AR,549249402,0,1,0
AR,5493447456,0,1,0
AR,54911694,0,1,0
AR,5492284397,0,1,0
AR,5492323206,0,1,0
AR,5492335401,0,1,0
AR,549113700,0,1,0
AR,549249450,0,1,0
AR,5492262676,0,1,0
AR,549261574,0,1,0
AR,5492297413,0,1,0
AR,5492243417,0,1,0
AR,5492477394,0,1,0
AR,549280400,0,1,0
AR,5492475424,0,1,0
AR,549221508,0,1,0
AR,54911636,0,1,0
AR,5492901417,0,1,0
AR,5492323332,0,1,0
AR,5492316403,0,1,0
AR,5492634310,0,1,0
AR,549232559,0,1,0
AR,549341503,0,1,0
AR,549239267,0,1,0
AR,549115061,0,1,0
AR,5492346614,0,1,0
AR,549226851,0,1,0
AR,5493444518,0,1,0
AR,5493455442,0,1,0
AR,549260403,0,1,0
AR,542236446,0,1,0
AR,5492346408,0,1,0
AR,5492634255,0,1,0
AR,5492324592,0,1,0
AR,549113226,0,1,0
AR,549265762,0,1,0
AR,5492921407,0,1,0
AR,549228159,0,1,0
AR,54911617,0,1,0
AR,5492652614,0,1,0
AR,5492651408,0,1,0
AR,5492304479,0,1,0
AR,549115006,0,1,0
AR,5493442479,0,1,0
AR,5492227587,0,1,0
AR,5492926455,0,1,0
AR,5492627203,0,1,0
AR,54336,1,0,0
AR,5493442454,0,1,0
AR,5492224502,0,1,0
AR,5492623367,0,1,0
AR,5492262489,0,1,0
AR,5492625402,0,1,0
AR,5492267453,0,1,0
AR,5492293670,0,1,0
AR,5492268459,0,1,0
AR,5493446476,0,1,0
